model,precision,recall,f1,roc_auc,avg_precision,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,0.05851755526657997,0.9183673469387755,0.1100244498777506,0.9714607283543693,0.7133365941551836,55416,1448,8,90
Random Forest,0.5548387096774193,0.8775510204081632,0.6798418972332015,0.9828701563630516,0.8159858336956032,56795,69,12,86
