model,best_params,best_cv_roc_auc
Logistic Regression,"{'classifier__C': 0.01, 'smote__k_neighbors': 5}",0.9807
Random Forest,"{'classifier__max_depth': 10, 'smote__k_neighbors': 3}",0.9837
